lga_id,lga,state,zone,lon,lat,area_km2
59680162B56866992006033,Akoko North West,Ondo,South West,5.8151,7.658,514.9
59680162B9948554175301,Ilesha East,Osun,South West,4.7653,7.5906,85.6
59680162B42022523568798,Njikoka,Anambra,South East,7.0127,6.186,55.8
59680162B99262810585367,Ohaji/Egbema,Imo,South East,6.829,5.4175,946.5
59680162B83386112613514,Gombe,Gombe,North East,11.1582,10.2974,56.3
59680162B94225169025314,Owerri Municipal,Imo,South East,7.0263,5.4759,62.9
59680162B98467355573765,Keana,Nasarawa,North Central,8.7548,8.1772,1053.8
59680162B24000905354670,Ohaukwu,Ebonyi,South East,7.9855,6.5392,725.8
59680162B53652676960042,Gbonyin,Ekiti,South West,5.4971,7.5877,462.3
59680162B35426409409773,Isiala Mbano,Imo,South East,7.1136,5.6669,131.2
59680162B16609728895319,Irepodun/Ifelodun,Ekiti,South West,5.2763,7.7125,341.6
59680162B2017456399117,Obowo,Imo,South East,7.3622,5.5548,82.5
59680162B83041511737206,Isuikwuato,Abia,South East,7.4675,5.8004,377.3
59680162B75733324884372,Makurdi,Benue,North Central,8.5467,7.6936,896.7
59680162B69095881694103,Gboko,Benue,North Central,8.909,7.3688,1626.7
59680162B28710912427622,Ife Central,Osun,South West,4.5391,7.5404,144.2
59680162B87049040782715,Isiala-Ngwa North,Abia,South East,7.4178,5.382,276.8
59680162B19335323694639,Yakurr,Cross River,South South,8.1744,5.8223,684.9
59680162B8070211954831,Billiri,Gombe,North East,11.1441,9.8433,678.0
59680162B76413580563978,Dunukofia,Anambra,South East,6.9764,6.2252,85.9
59680162B33112577829488,Osisioma Ngwa,Abia,South East,7.3305,5.1712,183.3
59680162B48244867814587,Ola Oluwa,Osun,South West,4.2327,7.7288,332.2
59680162B37281482686762,Wamba,Nasarawa,North Central,8.7158,9.001,1238.4
59680162B47985033068277,Boripe,Osun,South West,4.7075,7.8947,81.1
59680162B30655337934726,Yala,Cross River,South South,8.5346,6.6653,1598.8
59680162B7486965108625,Aguata,Anambra,South East,7.0996,5.9804,185.1
59680162B59054541310664,Calabar Municipal,Cross River,South South,8.3318,5.0052,64.2
59680162B73411137510562,Onitsha North,Anambra,South East,6.7952,6.1619,40.2
59680162B14415495238729,Ukum,Benue,North Central,9.659,7.5844,1593.0
59680162B66631777088899,Isa,Sokoto,North West,6.3696,13.2282,2050.3
59680162B53764009147535,Ogun Waterside,Ogun,South West,4.3775,6.4799,1038.0
59680162B54301811333050,Ifelodun,Osun,South West,4.6367,7.9291,157.7
59680162B7938799528038,Arochukwu,Abia,South East,7.8429,5.4949,443.6
59680162B95372959647234,Ijebu Ode,Ogun,South West,3.9488,6.7824,215.0
59680162B56106136996502,Magumeri,Borno,North East,12.6972,12.2155,4584.7
59680162B37931278966472,Boki,Cross River,South South,9.0254,6.2422,2852.1
59680162B2944873791560,Kwami,Gombe,North East,11.1629,10.4934,1860.6
59680162B97170897047692,Ekiti East,Ekiti,South West,5.6471,7.7107,305.7
59680162B98306169506823,Moro,Kwara,North Central,4.5153,8.8536,3124.0
59680162B50771081897552,Ezinihitte,Imo,South East,7.3181,5.4689,113.7
59680162B27876975276040,Kala Balge,Borno,North East,14.4543,11.9049,3181.3
59680162B80791368745463,Awe,Nasarawa,North Central,9.1658,8.2128,2590.7
59680162B59567965419701,Orolu,Osun,South West,4.4644,7.8904,78.0
59680162B46550202368720,Obubra,Cross River,South South,8.383,6.0017,1704.9
59680162B54275853767873,Akoko-Edo,Edo,South South,6.1249,7.3515,1375.3
59680162B73238408569532,Osogbo,Osun,South West,4.5412,7.7537,93.9
59680162B94034829608504,Ise/Orun,Ekiti,South West,5.3828,7.4214,431.5
59680162B71691370147242,Njaba,Imo,South East,7.0071,5.6699,57.0
59680162B75172896497028,Obi,Benue,North Central,8.3213,7.011,516.3
59680162B99039921741080,Buruku,Benue,North Central,9.277,7.3608,1377.4
59680162B9948575660850,Obudu,Cross River,South South,9.0571,6.5412,446.6
59680162B21498960785654,Orlu,Imo,South East,7.027,5.8176,130.8
59680162B23671729796425,Iwo,Osun,South West,4.1299,7.6772,213.4
59680162B18488232241930,Awka North,Anambra,South East,7.064,6.3316,374.9
59680162B13650355505793,Tarka,Benue,North Central,8.8623,7.5876,491.2
59680162B14302921886514,Umuahia North,Abia,South East,7.4945,5.5897,258.8
59680162B86061563506110,Odo Otin,Osun,South West,4.6848,8.0168,250.2
59680162B44242102017414,Ihiala,Anambra,South East,6.8578,5.842,298.3
59680162B98234428566305,Ilesha West,Osun,South West,4.7222,7.6384,101.1
59680162B43215766185997,Kaltungo,Gombe,North East,11.4309,9.8524,1005.1
59680162B77368104900520,Irepodun,Osun,South West,4.5274,7.9028,76.1
59680162B19549725656045,Ebonyi,Ebonyi,South East,8.1273,6.5411,400.3
59680162B86357482908219,Lafia,Nasarawa,North Central,8.7888,8.7135,2751.0
59680162B7511527862302,Ijebu North,Ogun,South West,4.035,7.022,1081.1
59680162B28606864431003,Ndokwa West,Delta,South South,6.4163,5.8264,814.5
59680162B47841916602322,Ikeduru,Imo,South East,7.146,5.5536,177.9
59680162B48603200461333,Okehi,Kogi,North Central,6.3503,7.7267,769.8
59680162B47339407576735,Yamaltu/Deba,Gombe,North East,11.404,10.3071,1863.4
59680162B54887547034560,Emure,Ekiti,South West,5.502,7.4061,258.1
59680162B84830000650933,Ikere,Ekiti,South West,5.2175,7.5103,296.5
59680162B16893313163973,Oguta,Imo,South East,6.7786,5.673,476.0
59680162B50777093344409,Konshisha,Benue,North Central,8.6949,7.042,1840.9
59680162B4821538642969,Ejigbo,Osun,South West,4.2186,7.8404,368.9
59680162B25446485561557,Gwer West,Benue,North Central,8.2077,7.5876,1244.1
59680162B25131261753844,Etung,Cross River,South South,8.7951,5.8573,976.0
59680162B99060674505372,Ekwusigo,Anambra,South East,6.8388,5.9813,120.9
59680162B51712615582520,Ijero,Ekiti,South West,5.0293,7.8456,364.1
59680162B43108992465432,Ugwunagbo,Abia,South East,7.3497,5.0156,126.8
59680162B28193395760126,Olorunda,Osun,South West,4.5755,7.8663,148.5
59680162B44675208679717,Nasarawa Egon,Nasarawa,North Central,8.4221,8.7237,1200.7
59680162B47259322211203,Ede North,Osun,South West,4.4874,7.7167,97.8
59680162B28595276838631,Afikpo South,Ebonyi,South East,7.7848,5.8354,387.2
59680162B53120698145103,Oru West,Imo,South East,6.8776,5.7351,119.3
59680162B18196869714953,Anambra East,Anambra,South East,6.8667,6.4714,615.8
59680162B81014786719276,Vandeikya,Benue,North Central,9.0939,6.81,676.0
59680162B20429116941940,Atakunmosa West,Osun,South West,4.6174,7.6007,398.6
59680162B97395677882832,Ogbaru,Anambra,South East,6.7434,5.916,486.5
59680162B4745386112936,Ikwuano,Abia,South East,7.5678,5.3973,261.0
59680162B35305934518280,Keffi,Nasarawa,North Central,7.8329,8.8364,212.2
59680162B7261312330016,Adavi,Kogi,North Central,6.4733,7.6922,611.3
59680162B91755424681987,Oru East,Imo,South East,6.9527,5.723,111.6
59680162B54973397451304,Remo North,Ogun,South West,3.7201,7.0038,204.5
59680162B13670821264537,Karu,Nasarawa,North Central,7.7359,8.9805,2431.9
59680162B19467626863877,Ikenne,Ogun,South West,3.6882,6.8871,180.3
59680162B66079212084305,Ila,Osun,South West,4.8976,7.9695,286.1
59680162B87556890682936,Doma,Nasarawa,North Central,8.2571,8.1335,3103.4
59680162B63392407575553,Nafada,Gombe,North East,11.234,11.0353,1227.0
59680162B99778789604362,Gwer East,Benue,North Central,8.39,7.3523,2286.5
59680162B55690925628014,Efon,Ekiti,South West,4.9438,7.6773,239.7
59680162B14530293305891,Ihitte/Uboma,Imo,South East,7.3841,5.6459,98.3
59680162B72061925749770,Ekiti West,Ekiti,South West,5.0431,7.7193,376.6
59680162B75725109309044,Atisbo,Oyo,South West,3.1798,8.4065,2476.4
59680162B73807077480910,Isu,Imo,South East,7.0534,5.6802,66.8
59680162B26648923761656,Ogbadibo,Benue,North Central,7.6859,7.022,530.5
59680162B38390932765307,Atakunmosa East,Osun,South West,4.7445,7.4402,358.7
59680162B44141715713069,Akwanga,Nasarawa,North Central,8.3448,8.9973,1074.9
59680162B49809531314946,Rafi,Niger,North Central,6.2218,10.2006,3863.2
59680162B36423706884187,Odukpani,Cross River,South South,8.0978,5.2456,1314.9
59680162B42207826884677,Gbako,Niger,North Central,6.0088,9.3282,1546.3
59680162B21365932465956,Ukwuani,Delta,South South,6.2536,5.8519,406.4
59680162B42338651294858,Awka South,Anambra,South East,7.0895,6.1914,158.3
59680162B85303802109421,Gurara,Niger,North Central,6.9742,9.3552,894.7
59680162B51611927546147,Kontagora,Niger,North Central,5.5154,10.4343,1830.8
59680162B45761990386675,Mashegu,Niger,North Central,5.2526,9.8358,8784.3
59680162B62313947241233,Wushishi,Niger,North Central,5.8994,9.6864,1836.5
59680162B70265669805684,Shiroro,Niger,North Central,6.7195,10.0831,4669.2
59680162B99837769325291,Borgu,Niger,North Central,4.1072,10.1894,10823.8
59680162B14261849329471,Lapai,Niger,North Central,6.6574,8.7398,3038.2
59680162B66461609617276,Akoko South West,Ondo,South West,5.7065,7.4075,532.9
59680162B75618838886778,Rijau,Niger,North Central,5.2173,11.044,3024.3
59680162B49614598703533,Chanchaga,Niger,North Central,6.5395,9.611,80.2
59680162B84198311358077,Mariga,Niger,North Central,5.8698,10.6175,6320.4
59680162B69298252864907,Munya,Niger,North Central,7.0734,9.7973,2184.2
59680162B93998087230069,Bosso,Niger,North Central,6.3574,9.645,1928.3
59680162B91872344495309,Suleja,Niger,North Central,7.1538,9.2191,114.2
59680162B6318880418470,Paikoro,Niger,North Central,6.8377,9.493,2023.4
59680162B46182656305392,Kanke,Plateau,North Central,9.6545,9.365,879.8
59680162B88998270560680,Jos North,Plateau,North Central,8.892,9.9373,260.1
59680162B89640587380951,Jos East,Plateau,North Central,9.1076,9.8658,917.1
59680162B51317919954642,Oredo,Edo,South South,5.5636,6.2326,251.6
59680162B21067903036313,Patani,Delta,South South,6.0942,5.1744,230.9
59680162B53080807091718,Shendam,Plateau,North Central,9.5194,8.7432,2482.0
59680162B99535636657731,Egor,Edo,South South,5.5611,6.3428,93.7
59680162B43697273286299,Langtang North,Plateau,North Central,9.8204,9.0518,805.0
59680162B91711719497512,Jos South,Plateau,North Central,8.85,9.7607,562.2
59680162B72495617993590,Mikang,Plateau,North Central,9.5745,9.0198,767.0
59680162B6096372749080,Barkin Ladi,Plateau,North Central,8.9404,9.5346,1148.3
59680162B11957186029310,Pankshin,Plateau,North Central,9.3934,9.312,1372.7
59680162B1032840889978,Bokkos,Plateau,North Central,8.8891,9.2372,1602.9
59680162B1443452948914,Wase,Plateau,North Central,10.2567,9.0367,4911.7
59680162B94726154492089,Bassa,Plateau,North Central,8.8097,10.0542,1464.6
59680162B16963737840115,Orumba South,Anambra,South East,7.2309,6.0012,201.8
59680162B74099392913903,Kanam,Plateau,North Central,10.0175,9.4684,2730.6
59680162B99351931357354,Langtang South,Plateau,North Central,9.8638,8.594,1213.5
59680162B68239008143557,Mangu,Plateau,North Central,9.189,9.3885,1630.6
59680162B63010488329613,Tafa,Niger,North Central,7.2551,9.2301,232.4
59680162B40491222708573,Magama,Niger,North Central,5.0608,10.2984,3664.8
59680162B64027612781435,Agwara,Niger,North Central,4.5246,10.7247,1458.5
59680162B48237076936000,Riyom,Plateau,North Central,8.7138,9.5856,807.6
59680162B28016750993437,Rabah,Sokoto,North West,5.7955,12.9944,2142.3
59680162B29308605862653,Ikwo,Ebonyi,South East,8.1963,6.0993,698.5
59680162B21692666530817,Safana,Katsina,North West,7.2309,12.5209,1342.5
59680162B51331479839153,Ajeromi/Ifelodun,Lagos,South West,3.336,6.4573,12.5
59680162B63684780260143,Koko-Besse,Kebbi,North West,4.4946,11.4495,1356.7
59680162B97817900806996,Epe,Lagos,South West,4.0489,6.5293,1323.8
59680162B87731060313783,Sumaila,Kano,North West,8.8618,11.2561,1494.0
59680162B76072611977433,Ogori/Magongo,Kogi,North Central,6.1564,7.4773,79.7
59680162B96890005302109,Amuwo Odofin,Lagos,South West,3.2745,6.4492,115.4
59680162B88365177272018,Tsanyawa,Kano,North West,7.9964,12.2848,547.3
59680162B89638160160445,Ibeju Lekki,Lagos,South West,3.8517,6.4561,418.8
59680162B23949108035203,Ajaokuta,Kogi,North Central,6.503,7.5043,1631.4
59680162B43339423021624,Irepo,Oyo,South West,3.8839,9.0253,962.5
59680162B76063539046075,Isoko North,Delta,South South,6.1308,5.5213,456.8
59680162B4656907626813,Ezeagu,Enugu,South East,7.2433,6.4099,676.7
59680162B53064832422435,Irele,Ondo,South West,4.9986,6.5082,965.9
59680162B88663407419721,Owo,Ondo,South West,5.5943,7.0952,1030.9
59680162B92999716235821,Dekina,Kogi,North Central,7.1437,7.595,2458.5
59680162B30693560799830,Akoko North East,Ondo,South West,5.9058,7.5622,373.9
59680162B11018926765325,Oluyole,Oyo,South West,3.8795,7.2189,665.6
59680162B28887917480980,Ogba/Egbema/Ndoni,Rivers,South South,6.635,5.434,897.8
